iter	Passed	Remaining
0	345	275705
1	491	196207
2	653	173699
3	803	159828
4	887	141171
5	1059	140166
6	1100	124668
7	1188	117626
8	1272	111859
9	1313	103733
10	1346	96584
11	1476	96942
12	1613	97651
13	1753	98429
14	1889	98879
15	2030	99483
16	2177	100286
17	2298	99876
18	2443	100438
19	2578	100572
20	2693	99926
21	2849	100785
22	2996	101230
23	3143	101652
24	3271	101405
25	3421	101855
26	3559	101908
27	3699	101997
28	3838	102049
29	3963	101717
30	4079	101205
31	4223	101354
32	4341	100895
33	4476	100863
34	4587	100259
35	4675	99215
36	4776	98508
37	4962	99513
38	5095	99427
39	5238	99534
40	5374	99490
41	5526	99747
42	5658	99614
43	5800	99669
44	5931	99516
45	6066	99441
46	6174	98926
47	6305	98785
48	6423	98445
49	6555	98339
50	6691	98271
51	6853	98588
52	6988	98495
53	7140	98650
54	7301	98907
55	7437	98810
56	7527	98117
57	7652	97905
58	7799	97961
59	7925	97751
60	8072	97791
61	8213	97769
62	8327	97422
63	8449	97164
64	8552	96708
65	8675	96477
66	8826	96564
67	8979	96659
68	9123	96659
69	9236	96322
70	9392	96441
71	9510	96163
72	9613	95738
73	9726	95424
74	9871	95428
75	9988	95156
76	10131	95135
77	10262	94998
78	10367	94616
79	10478	94305
80	10555	93699
81	10665	93387
82	10834	93590
83	10966	93472
84	11097	93346
85	11227	93211
86	11329	92846
87	11477	92860
88	11599	92666
89	11736	92588
90	11854	92363
91	11980	92199
92	12070	91763
93	12182	91501
94	12323	91452
95	12456	91348
96	12591	91254
97	12726	91164
98	12835	90885
99	12929	90507
100	13082	90537
101	13214	90426
102	13333	90225
103	13445	89979
104	13585	89920
105	13662	89453
106	13795	89345
107	13900	89068
108	14028	88930
109	14170	88888
110	14304	88791
111	14440	88707
112	14580	88645
113	14696	88436
114	14832	88352
115	14964	88240
116	15096	88128
117	15251	88146
118	15373	87976
119	15521	87955
120	15675	87964
121	15824	87944
122	15976	87935
123	16085	87692
124	16215	87561
125	16339	87402
126	16477	87315
127	16626	87288
128	16772	87240
129	16915	87179
130	17052	87085
131	17180	86945
132	17295	86738
133	17425	86608
134	17579	86595
135	17715	86494
136	17852	86397
137	17976	86236
138	18089	86021
139	18235	85966
140	18355	85788
141	18478	85625
142	18613	85517
143	18756	85445
144	18902	85385
145	19025	85222
146	19151	85074
147	19257	84838
148	19387	84706
149	19530	84633
150	19669	84539
151	19793	84384
152	19919	84235
153	20038	84059
154	20166	83918
155	20272	83687
156	20377	83455
157	20523	83392
158	20671	83334
159	20787	83151
160	20923	83043
161	21082	83030
162	21231	82970
163	21371	82878
164	21516	82807
165	21659	82723
166	21760	82479
167	21887	82339
168	21980	82070
169	22111	81943
170	22215	81717
171	22356	81628
172	22492	81518
173	22623	81391
174	22784	81374
175	22935	81316
176	23056	81152
177	23177	80989
178	23321	80909
179	23452	80780
180	23600	80712
181	23734	80593
182	23846	80399
183	23933	80125
184	24036	79906
185	24160	79756
186	24298	79651
187	24429	79525
188	24570	79430
189	24696	79287
190	24840	79204
191	24961	79043
192	25076	78866
193	25176	78645
194	25298	78490
195	25413	78316
196	25546	78195
197	25697	78129
198	25802	77926
199	25951	77854
200	26075	77707
201	26214	77606
202	26353	77501
203	26462	77311
204	26576	77137
205	26692	76967
206	26840	76892
207	26982	76796
208	27110	76660
209	27212	76455
210	27328	76286
211	27467	76184
212	27598	76056
213	27728	75930
214	27837	75744
215	27962	75603
216	28077	75433
217	28183	75242
218	28285	75041
219	28426	74941
220	28553	74807
221	28646	74584
222	28783	74476
223	28986	74537
224	29124	74429
225	29257	74310
226	29403	74220
227	29535	74098
228	29667	73974
229	29827	73920
230	29969	73821
231	30100	73693
232	30220	73540
233	30338	73383
234	30456	73224
235	30546	73001
236	30655	72823
237	30764	72644
238	30916	72569
239	31013	72365
240	31131	72209
241	31237	72027
242	31345	71849
243	31427	71614
244	31533	71432
245	31647	71271
246	31758	71104
247	31870	70938
248	32023	70863
249	32151	70733
250	32276	70596
251	32384	70424
252	32523	70316
253	32648	70182
254	32774	70046
255	32886	69884
256	33009	69744
257	33127	69593
258	33256	69466
259	33376	69321
260	33483	69147
261	33619	69036
262	33735	68882
263	33835	68697
264	33957	68555
265	34083	68422
266	34198	68267
267	34308	68104
268	34424	67953
269	34544	67809
270	34649	67637
271	34767	67490
272	34884	67341
273	34999	67188
274	35127	67060
275	35259	66942
276	35354	66752
277	35454	66573
278	35568	66420
279	35686	66275
280	35804	66129
281	35919	65980
282	36052	65863
283	36171	65720
284	36268	65538
285	36363	65353
286	36483	65212
287	36595	65057
288	36711	64912
289	36829	64769
290	36945	64623
291	37070	64493
292	37176	64330
293	37302	64200
294	37442	64096
295	37573	63976
296	37694	63840
297	37839	63743
298	37987	63650
299	38101	63501
300	38222	63365
301	38335	63215
302	38457	63080
303	38585	62955
304	38682	62780
305	38800	62639
306	38927	62511
307	39048	62375
308	39162	62228
309	39291	62105
310	39403	61955
311	39526	61824
312	39650	61692
313	39781	61573
314	39926	61474
315	40038	61325
316	40129	61144
317	40237	60988
318	40348	60838
319	40475	60713
320	40587	60565
321	40701	60420
322	40796	60247
323	40957	60171
324	41105	60076
325	41197	59900
326	41302	59743
327	41427	59615
328	41559	59496
329	41684	59369
330	41778	59197
331	41901	59066
332	42017	58924
333	42132	58783
334	42241	58633
335	42355	58491
336	42447	58317
337	42552	58163
338	42667	58023
339	42788	57890
340	42899	57743
341	43014	57604
342	43142	57480
343	43258	57342
344	43360	57185
345	43475	57045
346	43607	56928
347	43723	56789
348	43828	56637
349	43944	56500
350	44070	56374
351	44179	56227
352	44289	56083
353	44407	55947
354	44533	55823
355	44645	55681
356	44758	55540
357	44877	55407
358	44984	55259
359	45105	55128
360	45234	55008
361	45354	54876
362	45485	54758
363	45596	54615
364	45723	54492
365	45863	54385
366	45974	54242
367	46089	54105
368	46200	53963
369	46311	53821
370	46417	53674
371	46539	53544
372	46704	53466
373	46822	53332
374	46947	53207
375	47054	53061
376	47199	52958
377	47301	52807
378	47416	52671
379	47519	52521
380	47629	52379
381	47752	52252
382	47862	52111
383	47971	51968
384	48082	51829
385	48220	51718
386	48322	51568
387	48436	51432
388	48548	51293
389	48661	51156
390	48771	51016
391	48888	50884
392	48995	50740
393	49100	50596
394	49240	50486
395	49358	50355
396	49455	50202
397	49562	50060
398	49675	49924
399	49804	49804
400	49918	49669
401	50035	49537
402	50136	49390
403	50223	49229
404	50308	49066
405	50397	48908
406	50498	48761
407	50595	48611
408	50705	48474
409	50810	48332
410	50912	48187
411	51018	48046
412	51100	47883
413	51192	47730
414	51274	47568
415	51397	47443
416	51494	47295
417	51582	47139
418	51676	46989
419	51782	46850
420	51869	46694
421	51973	46554
422	52058	46397
423	52160	46255
424	52264	46115
425	52379	45985
426	52499	45860
427	52610	45726
428	52712	45586
429	52810	45441
430	52901	45291
431	53007	45154
432	53149	45048
433	53284	44935
434	53399	44806
435	53492	44659
436	53583	44510
437	53688	44372
438	53809	44248
439	53907	44106
440	54000	43959
441	54100	43818
442	54209	43685
443	54353	43580
444	54471	43454
445	54581	43322
446	54708	43203
447	54823	43075
448	54937	42946
449	55071	42833
450	55198	42714
451	55281	42562
452	55387	42427
453	55504	42300
454	55621	42174
455	55736	42047
456	55855	41922
457	55978	41800
458	56101	41679
459	56214	41549
460	56312	41409
461	56432	41286
462	56552	41162
463	56685	41048
464	56803	40923
465	56935	40808
466	57022	40660
467	57149	40541
468	57252	40406
469	57357	40272
470	57481	40151
471	57611	40035
472	57741	39918
473	57852	39788
474	57967	39662
475	58094	39543
476	58237	39435
477	58399	39340
478	58555	39240
479	58639	39093
480	58754	38966
481	58872	38840
482	58953	38692
483	59071	38567
484	59216	38459
485	59357	38350
486	59439	38202
487	59552	38074
488	59662	37945
489	59775	37816
